nome;lon;lat;endereco
Prado Beer;-43.9592689;-19.924344;Av. Francisco Sá, 590 , Prado, Belo Horizonte - MG, 30441-018
Queremos Frango;-43.9332774;-19.8396478;Avenida Joaquim Clemente, 730 ,  Belo Horizonte - MG, 31840-340
Quintal do Louzada;-43.9752421;-19.9388489;Rua Gávea, 358  , Belo Horizonte - MG, 30421-340
Quioxque Botequim Carioca;-43.9759493;-19.9744485;Rua Henrique Badaró Portugal, 157 , Buritis, Belo Horizonte - MG, 30575-232
Quitandas da Tia Nice Bar;-43.9210181;-19.9121372;R. Alabastro, 146  , Horto, Belo Horizonte - MG, 31030-080
Recanto da Traíra;-43.9283326;-19.8809841;Rua Alberto Cintra, 47  , Belo Horizonte - MG, 31160-370
Reforma Bar;-43.9772205;-19.9354463;Rua Joaquim Nabuco, 577  , Belo Horizonte - MG, 30421-260
Rei da Picanha;-43.9437183;-19.8614898;Avenida Sebastião de Brito, 400  , Belo Horizonte - MG, 31260-000
Rei do Peixe;-43.9654983;-19.8307182;R. Ramalho Ortigão, 735 , Santa Branca, Belo Horizonte - MG, 31565-100
Resenha da Naty;-43.946499;-19.8892256;R. Gonçalves Lêdo, 288 , Cachoeirinha, Belo Horizonte - MG, 31130-290
S.O.S Pub;-43.9926409;-19.9520894;Avenida Padre José Maurício, 1126 , Vista Alegre, Belo Horizonte - MG, 30514-000
Sant’Esquina Butiquim;-43.9654983;-19.8307182;Rua Ramalho Ortigão, 650  ,Belo Horizonte - MG, 31565-100
Santuário Retrô;-43.9899947;-19.9160217;Av. Padre Vieira, 150 , Minas Brasil, Belo Horizonte - MG, 30730-240
Seu Justino;-43.9995124;-19.8022926;Rua Dona Conceição Martins, 63 , Belo Horizonte - MG, 31680-010
Sô Bar;-43.9967121;-19.8842816;Av. Altamiro Avelino Soares, 426 , Castelo, Belo Horizonte - MG, 31330-000
Spetim;-43.929371;-19.8918598;R. Ilacir Pereira Lima, 518 , Silveira, Belo Horizonte - MG, 31140-540
Sunset Bar;-43.8686921;-19.8344409;R. Érico Veríssimo, 2039 , Belo Horizonte - MG, 31998-270
Tanganica Art Bar;-43.9917045;-19.9254737;R. Padre Demerval Gomes, 380 , Coração Eucarístico, Belo Horizonte - MG, 30535-470
Toca do Ogro;-43.9568613;-19.8543191;R. Professor Nelson de Sena, 4 , Pampulha, Belo Horizonte - MG, 31270-660
Toninho – Alto Forno;-43.9522977;-19.8999841;R. Miracema, 100 , Santo André, Belo Horizonte - MG, 31230-660
Us Motoca;-44.0148074;-19.9407705;R. Blenda, 91 , Camargos, Belo Horizonte - MG, 30520-170
Via Deslandes;-43.9286988;-19.9503283;Rua Francisco Deslandes, 10  , Belo Horizonte - MG, 30310-530
Zé Bolacha;-43.9515485;-19.8211973;Rua das Melancias, 35 , Vila Clóris, Belo Horizonte - MG, 31744-063
Zoo Bar;-44.0040585;-19.8545889;Av. Otacílio Negrão de Lima, 7844 , Pampulha, Belo Horizonte - MG, 31365-450
